title,publisher,doi,published,cited_num,times_cited,abstract,keywords,keyword_plus,authors_address,author_university,author_id,cited
What's in a Name? The Importance of Naming grid Grobs When Drawing Plots in R,R JOURNAL,NO DOI,DEC 2012,6,1,"Any shape that is drawn using the grid graphics package can have a name associated with it. If a name is provided, it is possible to access, query, and modify the shape after it has been drawn. These facilities allow for very detailed customisations of plots and also for very general transformations of plots that are drawn by packages based on grid.",,,"Murrell, Paul@Univ Auckland, Dept Stat, Auckland 1, New Zealand","Murrell, Paul@University of Auckland",not exist,"no title+Andrews, F.+&lt;IT&gt;playwith: A GUI for interactive plots using GTK+&lt;/IT&gt;+2010::no title+Murrell, P.; Ly, V.+&lt;IT&gt;gridDebug: Debugging Grid Graphics&lt;/IT&gt;+2011::no title+Murrell, P.+&lt;IT&gt;gridSVG: Export grid graphics as SVG&lt;/IT&gt;+2011::no title+Sarkar, D.+Lattice: multivariate data visualization with R+2008::Conducting Meta-Analyses in R with the metafor Package+Viechtbauer, Wolfgang+JOURNAL OF STATISTICAL SOFTWARE+AUG 2010::no title+Wickham, H.+&lt;IT&gt;ggplot2: elegant graphics for data analysis&lt;/IT&gt;+2009"
"It's Not What You Draw, It's What You Don't Draw Drawing Paths with Holes in R Graphics",R JOURNAL,NO DOI,DEC 2012,5,1,"The R graphics engine has new support for drawing complex paths via the functions polypath() and grid.path(). This article explains what is meant by a complex path and demonstrates the usefulness of complex paths in drawing non-trivial shapes, logos, customised data symbols, and maps.",,,"Murrell, Paul@Univ Auckland, Dept Stat, Auckland 1, New Zealand","Murrell, Paul@University of Auckland",not exist,"no title+Brownrigg, R.; Minka, T. P.+&lt;IT&gt;maps: Draw Geographical Maps&lt;/IT&gt;+2011::no title+Lewin-Koh, N.J.; Bivand, R.+&lt;IT&gt;maptools: Tools for reading and handling spatial objects&lt;/IT&gt;+2011::no title+MURRELL P+J STAT SOFTW+2009::no title+Sarkar, D.+&lt;IT&gt;Lattice: Multivariate Data Visualization with R&lt;/IT&gt;+2008::A global, self-consistent, hierarchical, high-resolution shoreline database+Wessel, P; Smith, WHF+JOURNAL OF GEOPHYSICAL RESEARCH-SOLID EARTH+APR 10 1996"
Debugging grid Graphics,R JOURNAL,NO DOI,DEC 2012,8,1,"A graphical scene that has been produced using the grid graphics package consists of grobs (graphical objects) and viewports. This article describes functions that allow the exploration and inspection of the grobs and viewports in a grid scene, including several functions that are available in a new package called gridDebug. The ability to explore the grobs and viewports in a grid scene is useful for adding more drawing to a scene that was produced using grid and for understanding and debugging the grid code that produced a scene.",,,"Murrell, Paul@Univ Auckland, Dept Stat, Auckland 1, New Zealand::Ly, Velvet@Univ Auckland, Dept Stat, Auckland 1, New Zealand","Murrell, Paul@University of Auckland::Ly, Velvet@University of Auckland",not exist,"no title+Andrews, F.+&lt;IT&gt;playwith: A GUI for interactive plots using GTK+&lt;/IT&gt;+2010::no title+Falcon, S.; Huber, W.; Gentleman, R.<span class=""fcr-data-normal"">; et al</span><span class=""fcr-data-additional"" style=""display: none;"">; Whalen, E</span>.+&lt;IT&gt;graph: A package to handle graph data structures&lt;/IT&gt;+2010::no title+Gentry, J.; Long, L.; Gentleman, R.<span class=""fcr-data-normal"">; et al</span><span class=""fcr-data-additional"" style=""display: none;"">; Falcon, S.; Hahne, F.; Sarkar, D.; Hansen, K</span>.+&lt;IT&gt;Rgraphviz: Provides plotting capabilities for R graph objects&lt;/IT&gt;+2010::no title+Murrell, P.; Ly, V.+&lt;IT&gt;gridDebug: Debugging Grid Graphics&lt;/IT&gt;+2011::no title+Murrell, P.+&lt;IT&gt;gridGraphviz: Drawing Node-and-Edge Graphs Using Grid&lt;/IT&gt;+2011::no title+Potter, S.; Murrell, P.+&lt;IT&gt;gridSVG: Export grid graphics as SVG&lt;/IT&gt;+2011::no title+Sarkar, D.+&lt;IT&gt;Lattice: Multivariate Data Visualization with R&lt;/IT&gt;+2008::no title+Wickham, H.+&lt;IT&gt;ggplot2: elegant graphics for data analysis&lt;/IT&gt;+2009"
frailtyHL: A Package for Fitting Frailty Models with H-likelihood,R JOURNAL,NO DOI,DEC 2012,36,4,"We present the frailtyHL package for fitting semi-parametric frailty models using h-likelihood. This package allows lognormal or gamma frailties for random-effect distribution, and it fits shared or multilevel frailty models for correlated survival data. Functions are provided to format and summarize the frailtyHL results. The estimates of fixed effects and frailty parameters and their standard errors are calculated. We illustrate the use of our package with three well-known data sets and compare our results with various alternative R-procedures.",,"GENERALIZED LINEAR-MODELS,HIERARCHICAL LIKELIHOOD,SURVIVAL ANALYSIS,INFORMATION","Ha, Il Do@Daegu Haany Univ, Dept Asset Management, Taegu, South Korea::Noh, Maengseok@Pukyong Natl Univ, Dept Stat, Pusan, South Korea::Lee, Youngjo@Seoul Natl Univ, Dept Stat, Seoul 151, South Korea","Ha, Il Do@Unknow::Noh, Maengseok@Pukyong National University::Lee, Youngjo@Seoul National University",not exist,"no title+Alam, M.; Ronnegard, L.; Shen, X.+&lt;IT&gt;hglm: hierarchical generalized linear models&lt;/IT&gt;+2010::COVARIANCE ANALYSIS OF CENSORED SURVIVAL DATA+BRESLOW, N+BIOMETRICS+1974::Contribution to the discussion of the paper by D. R. Cox+Breslow, NE.+J Roy Stat Soc B.+1972::PARAMETER ORTHOGONALITY AND APPROXIMATE CONDITIONAL INFERENCE+COX, DR; REID, N+JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-METHODOLOGICAL+1987::Estimating frailty models via Poisson hierarchical generalized linear models+Do Ha, I; Lee, Y+JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS+SEP 2003::Frailty modelling for survival data from multi-centre clinical trials+Do Ha, Il; Sylvester, Richard; Legrand, Catherine; et al.+STATISTICS IN MEDICINE+JUL 30 2011::Model selection for multi-component frailty models+Do Ha, Il; Lee, Youngjo; MacKenzie, Gilbert+STATISTICS IN MEDICINE+NOV 20 2007::no title+Donohue, M.; Xu, R.+&lt;IT&gt;phmm: proportional hazards mixed-effects model&lt;/IT&gt;+2012::Conditional Akaike information under generalized linear and proportional hazards mixed models+Donohue, M. C.; Overholser, R.; Xu, R.; et al.+BIOMETRIKA+SEP 2011::The Frailty Model Introduction+Duchateau, Luc; Janssen, Paul+FRAILTY MODEL+2008::no title+Fleming, T. R.; Harrington, D. P.+&lt;IT&gt;Counting Processes and Survival Analysis&lt;/IT&gt;+1991::no title+Gonzalez, J. R.; Mauguen, A.; Diakite, A.<span class=""fcr-data-normal"">; et al</span><span class=""fcr-data-additional"" style=""display: none;"">; Rondeau, V.; Mazroui, Y</span>.+&lt;IT&gt;frailtypack: frailty models using a semi-parametrical penalized likelihood estimation or a parametrical estimation&lt;/IT&gt;+2012::no title+Ha, I. D.; Noh, M.; Lee, Y.+&lt;IT&gt;frailtyHL: frailty models using h-likelihood&lt;/IT&gt;+2012::Joint modelling of repeated measures and survival time data+Ha, ID; Park, TS; Lee, YJ+BIOMETRICAL JOURNAL+2003::Comparison of hierarchical likelihood versus orthodox best linear unbiased predictor approaches for frailty models+Ha, ID; Lee, Y+BIOMETRIKA+SEP 2005::Hierarchical likelihood approach for frailty models+Ha, ID; Lee, Y; Song, JK+BIOMETRIKA+MAR 2001::Bias Reduction of Likelihood Estimators in Semiparametric Frailty Models+Ha, Il Do; Noh, Maengseok; Lee, Youngjo+SCANDINAVIAN JOURNAL OF STATISTICS+JUN 2010::no title+Hougaard, P.+&lt;IT&gt;Analysis of Multivariate Survival Data&lt;/IT&gt;+2000::Hierarchical generalised linear models: A synthesis of generalised linear models, random-effect models and structured dispersions+Lee, Y; Nelder, JA+BIOMETRIKA+DEC 2001::no title+Lee, Y.; Nelder, J. A.; Pawitan, Y.+&lt;IT&gt;Generalised Linear Models with Random Effects: Unified Analysis via H-likelihood&lt;/IT&gt;+2006::Hierarchical generalized linear models+Lee, Y; Nelder, JA+JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-METHODOLOGICAL+1996::Double hierarchical generalized linear models+Lee, Y; Nelder, JA+JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS+2006::Prediction interval for disease mapping using hierarchical likelihood+Lee, Youngjo; Jang, Myoungjin; Lee, Woojoo+COMPUTATIONAL STATISTICS+MAR 2011::Orthodox BLUP versus h-likelihood methods for inferences about random effects in Tweedie mixed models+Lee, Youngjo; Ha, Il Do+STATISTICS AND COMPUTING+JUL 2010::MANTEL-HAENSZEL ANALYSES OF LITTER-MATCHED TIME-TO-RESPONSE DATA, WITH MODIFICATIONS FOR RECOVERY OF INTERLITTER INFORMATION+MANTEL, N; BOHIDAR, NR; CIMINERA, JL+CANCER RESEARCH+1977::REGRESSION WITH FRAILTY IN SURVIVAL ANALYSIS+MCGILCHRIST, CA; AISBETT, CW+BIOMETRICS+JUN 1991::no title+Molas, M.+&lt;IT&gt;HGLMMM: hierarchical generalized linear models&lt;/IT&gt;+2010::no title+Noh, M.; Lee, Y.+&lt;IT&gt;dhglm: double hierarchical generalized linear models&lt;/IT&gt;+2011::Estimation of multivariate frailty models using penalized partial likelihood+Ripatti, S; Palmgren, J+BIOMETRICS+DEC 2000::Investigating trial and treatment heterogeneity in an individual patient data meta-analysis of survival data by means of the penalized maximum likelihood approach+Rondeau, V.; Michiels, S.; Liquet, B.; et al.+STATISTICS IN MEDICINE+MAY 20 2008::no title+Sakamoto, Y.; Ishiguro, M.; Kitagawa, G.+&lt;IT&gt;Akaike Information Criterion Statistics&lt;/IT&gt;+1986::no title+Therneau, T. M.+&lt;IT&gt;coxme: Mixed Effects Cox Models&lt;/IT&gt;+2011::no title+Therneau, T. M.; Grambsch, P. M.+&lt;IT&gt;Modelling Survival Data: Extending the Cox Model&lt;/IT&gt;+2000::no title+Therneau, T. M.+&lt;IT&gt;survival: survival analysis, including penalised likelihood&lt;/IT&gt;+2010::Proportional hazards model with random effects+Vaida, F; Xu, RH+STATISTICS IN MEDICINE+DEC 30 2000::Multilevel models for survival analysis with random effects+Yau, KKW+BIOMETRICS+MAR 2001"
influence.ME: Tools for Detecting Influential Data in Mixed Effects Models,R JOURNAL,NO DOI,DEC 2012,15,74,"influence.ME provides tools for detecting influential data in mixed effects models. The application of these models has become common practice, but the development of diagnostic tools has lagged behind. influence. ME calculates standardized measures of influential data for the point estimates of generalized mixed effects models, such as DFBETAS, Cook's distance, as well as percentile change and a test for changing levels of significance. influence. ME calculates these measures of influence while accounting for the nesting structure of the data. The package and measures of influential data are introduced, a practical example is given, and strategies for dealing with influential data are suggested.",,,"Nieuwenhuis, Rense@Univ Twente, Inst Innovat & Governance Studies IGS, NL-7500 AE Enschede, Netherlands::te Grotenhuis, Manfred@Radboud Univ Nijmegen, NL-6525 ED Nijmegen, Netherlands::Pelzer, Ben@Radboud Univ Nijmegen, NL-6525 ED Nijmegen, Netherlands","Nieuwenhuis, Rense@University of Twente::te Grotenhuis, Manfred@Radboud University Nijmegen::Pelzer, Ben@Radboud University Nijmegen","Pelzer, Ben@K-2935-2012::Te Grotenhuis, Manfred@D-2561-2012@http://orcid.org/0000-0002-6149-1574::Nieuwenhuis, Rense@B-4986-2013@http://orcid.org/0000-0001-6138-0463","no title+Bates, D.; Maechler, M.+&lt;IT&gt;lme4: Linear mixed-effects models using S4 classes&lt;/IT&gt;+2010::DETECTION OF INFLUENTIAL OBSERVATION IN LINEAR-REGRESSION+COOK, RD+TECHNOMETRICS+1977::no title+Crawley, M. J.+&lt;IT&gt;The R Book&lt;/IT&gt;+2007::no title+Fox, J.+&lt;IT&gt;An R and S-Plus Companion to Applied Regression&lt;/IT&gt;+2002::no title+Harrell Jr, F. E.+&lt;IT&gt;Regression Modeling Strategies. With Applications to Linear Models, Logistic Regression, and Survival Analysis&lt;/IT&gt;+2001::no title+Kreft, I.; De Leeuw, J.+&lt;IT&gt;Introducing Multilevel Modeling&lt;/IT&gt;+1998::no title+Kuh, E.; Welsch, R.; Belsley, D.+&lt;IT&gt;Regression Diagnostics. Identifying Influential Data and Sources of Collinearity&lt;/IT+1980::Outliers in multilevel data+Langford, IH; Lewis, T+JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY+1998::Nested analysis as a mixed-method strategy for comparative research+Lieberman, ES+AMERICAN POLITICAL SCIENCE REVIEW+AUG 2005::no title+Sarkar, D.+&lt;IT&gt;Lattice&lt;/IT&gt;. &lt;IT&gt;Multivariate Data Visualization with R&lt;/IT&gt;+2008::no title+SNIJDERS T+MULTILEVEL ANAL INTR+1999::Diagnostic checks for multilevel models+Snijders, T. A.; Berkhof, J.+HDB MULTILEVEL ANAL+2008::no title+te Grotenhuis, M.; Nieuwenhuis, R.; Pelzer, B.+&lt;IT&gt;influence.ME: Tools for detecting influential data in mixed effects models&lt;/IT&gt;+2012::no title+Tremblay, A.+&lt;IT&gt;LMERConvenienceFunctions: A suite of functions to back-fit fixed effects and forward-fit random effects, as well as other miscellaneous functions&lt;/IT&gt;+2012::Influential Cases in Multilevel Modeling: A Methodological Comment+Van der Meer, Tom; Grotenhuis, Manfred Te; Pelzer, Ben+AMERICAN SOCIOLOGICAL REVIEW+FEB 2010"
The crs Package: Nonparametric Regression Splines for Continuous and Categorical Predictors,R JOURNAL,NO DOI,DEC 2012,21,13,"A new package crs is introduced for computing nonparametric regression (and quantile) splines in the presence of both continuous and categorical predictors. B-splines are employed in the regression model for the continuous predictors and kernel weighting is employed for the categorical predictors. We also develop a simple R interface to NOMAD, which is a mixed integer optimization solver used to compute optimal regression spline solutions.",,CROSS-VALIDATION,"Nie, Zhenghua@McMaster Univ, Hamilton, ON, Canada::Racine, Jeffrey S.@McMaster Univ, Hamilton, ON, Canada","Nie, Zhenghua@McMaster University::Racine, Jeffrey S.@McMaster University","Racine, Jeffrey@N-9476-2014::Racine, Jeffrey@http://orcid.org/0000-0002-5680-3705","no title+Abramson, M.; Audet, C.; Couture, G.<span class=""fcr-data-normal"">; et al</span><span class=""fcr-data-additional"" style=""display: none;"">; Dennis Jr, J.; Le Digabel, S</span>.+The NOMAD project+2011::no title+Adler, D.; Murdoch, D.+&lt;IT&gt;rgl: 3D visualization device system (OpenGL)&lt;/IT&gt;+2012::MULTIVARIATE BINARY DISCRIMINATION BY KERNEL METHOD+AITCHISON, J; AITKEN, CGG+BIOMETRIKA+1976::SMOOTHING NOISY DATA WITH SPLINE FUNCTIONS - ESTIMATING THE CORRECT DEGREE OF SMOOTHING BY THE METHOD OF GENERALIZED CROSS-VALIDATION+CRAVEN, P; WAHBA, G+NUMERISCHE MATHEMATIK+1979::no title+Galassi, M.; Davies, J.; Theiler, J.<span class=""fcr-data-normal"">; et al</span><span class=""fcr-data-additional"" style=""display: none;"">; Gough, B.; Jungman, G.; Alken, P.; Booth, M.; Rossi, F</span>.+GNU Scientific Library Reference Manual+January 2009::no title+Gu, C.+&lt;IT&gt;gss: General Smoothing Splines&lt;/IT&gt;+2012::Cross-validation and the estimation of conditional probability densities+Hall, P; Racine, J; Li, Q+JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION+DEC 2004::Nonparametric estimation of regression functions in the presence of irrelevant regressors+Hall, Peter; Li, Qi; Racine, Jeffrey S.+REVIEW OF ECONOMICS AND STATISTICS+NOV 2007::no title+Hastie, T.+&lt;IT&gt;gam: Generalized Additive Models&lt;/IT&gt;+2011::Smoothing parameter selection in nonparametric regression using an improved Akaike information criterion+Hurvich, CM; Simonoff, JS; Tsai, CL+JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY+1998::Algorithm 909: NOMAD: Nonlinear Optimization with the MADS Algorithm+Le Digabel, Sebastien+ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE+FEB 2011::Spline regression in the presence of categorical predictors+Ma, S.; Racine, J. S.; Yang, L.+&lt;IT&gt;Journal of Multivariate Analysis&lt;/IT&gt;+2012::Additive regression splines with irrelevant categorical and continuous regressors+Ma, S.; Racine, J. S.+&lt;IT&gt;Statistica Sinica&lt;/IT&gt;+2012::Nonparametric estimation of regression functions with both categorical and continuous data+Racine, J; Li, Q+JOURNAL OF ECONOMETRICS+MAR 2004::Cross-validatory choice and assessment of statistical predictions+Stone, C.J.+J. Roy. Statist. Soc+1974::CONSISTENT NONPARAMETRIC REGRESSION+STONE, CJ; BICKEL, PJ; BREIMAN, L; et al.+ANNALS OF STATISTICS+1977::On the implementation of an interior-point filter line-search algorithm for large-scale nonlinear programming+Wachter, A; Biegler, LT+MATHEMATICAL PROGRAMMING+MAY 2006::no title+Wahba, G.+&lt;IT&gt;Spline Models for Observational Data&lt;/IT&gt;+1990::no title+Wand, M.+&lt;IT&gt;SemiPar: Semiparametic Regression&lt;/IT&gt;+2010::no title+Wood, S.+&lt;IT&gt;Generalized Additive Models: An Introduction with R&lt;/IT&gt;+2006::On derivative estimation in spline regression+Zhou, SG; Wolfe, DA+STATISTICA SINICA+JAN 2000"
Rfit: Rank-based Estimation for Linear Models,R JOURNAL,NO DOI,DEC 2012,20,40,"In the nineteen seventies, Jureckova and Jaeckel proposed rank estimation for linear models. Since that time, several authors have developed inference and diagnostic methods for these estimators. These rank-based estimators and their associated inference are highly efficient and are robust to outliers in response space. The methods include estimation of standard errors, tests of general linear hypotheses, confidence intervals, diagnostic procedures including studentized residuals, and measures of influential cases. We have developed an R package, Rfit, for computing of these robust procedures. In this paper we highlight the main features of the package. The package uses standard linear model syntax and includes many of the main inference and diagnostic functions.",,"REGRESSION COEFFICIENTS,ROBUST ANALYSIS","Kloke, John D.@Univ Wisconsin, Dept Biostat & Med Informat, Madison, WI 53726 USA::McKean, Joseph W.@Western Michigan Univ, Dept Stat, Kalamazoo, MI 49008 USA","Kloke, John D.@University of Wisconsin System@University of Wisconsin Madison::McKean, Joseph W.@Western Michigan University",not exist,"AN ANALYSIS OF TRANSFORMATIONS+BOX, GEP; COX, DR+JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY+1964::High-breakdown rank regression+Chang, WH; McKean, JW; Naranjo, JD; et al.+JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION+MAR 1999::Robust General Linear Models and Graphics via a User Interface (Web RGLM)+Crimin, Kimberly; Abebe, Asheber; McKean, Joseph W.+JOURNAL OF MODERN APPLIED STATISTICAL METHODS+MAY 2008::no title+Hettmansperger, T. P.; McKean, J. W.+&lt;IT&gt;Robust Non-parametric Statistical Methods&lt;/IT&gt;+2011::no title+Hocking, R. R.+&lt;IT&gt;The Analysis of Linear Models&lt;/IT&gt;+1985::no title+Hollander, M.; Wolfe, D. A.+&lt;IT&gt;Nonparametric Statistical Methods&lt;/IT&gt;+1999::ESTIMATING REGRESSION COEFFICIENTS BY MINIMIZING DISPERSION OF RESIDUALS+JAECKEL, LA+ANNALS OF MATHEMATICAL STATISTICS+1972::NONPARAMETRIC ESTIMATE OF REGRESSION COEFFICIENTS+JURECKOVA, J+ANNALS OF MATHEMATICAL STATISTICS+1971::RGLM: Users manual+Kapenga, J.; McKean, J. W.; Vidmar, T. J.+Technical Report 90+1995::Rank-Based Estimation and Associated Inferences for Linear Models With Cluster Correlated Errors+Kloke, John D.; Mckean, Joseph W.; Rashid, M. Mushfiqur+JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION+MAR 2009::no title+Koenker, R.+&lt;IT&gt;quantreg: Quantile Regression&lt;/IT&gt;+2011::AN ESTIMATOR OF THE SCALE PARAMETER FOR THE RANK ANALYSIS OF LINEAR-MODELS UNDER GENERAL SCORE FUNCTIONS+KOUL, HL; SIEVERS, GL; MCKEAN, J+SCANDINAVIAN JOURNAL OF STATISTICS+1987::Computational rank-based statistics7+McKean, Joseph W.; Terpstra, Jeff T.; Kloke, John D.+WILEY INTERDISCIPLINARY REVIEWS-COMPUTATIONAL STATISTICS+SEP-OCT 2009::Diagnostic procedures+McKean, Joseph W.; Sheather, Simon J.+WILEY INTERDISCIPLINARY REVIEWS-COMPUTATIONAL STATISTICS+SEP-OCT 2009::ROBUST ANALYSIS OF GENERAL LINEAR-MODEL BASED ON ONE-STEP R-ESTIMATES+MCKEAN, JW; HETTMANSPERGER, TP+BIOMETRIKA+1978::Robust analysis of linear models+McKean, JW+STATISTICAL SCIENCE+NOV 2004::no title+Morrison, D. F.+&lt;IT&gt;Applied Linear Statistical Models&lt;/IT&gt;+1983::no title+Rousseuw, P. J.; Leroy, A. M.+&lt;IT&gt;Robust Regression and Outlier Detection&lt;/IT&gt;+1987::Rank-based analyses of linear models using R''+Terpstra, J.; McKean, J. W.+&lt;IT&gt;Journal of Statistical Software&lt;/IT&gt;+2005::no title+Venables, W. N.; Ripley, B. D.+&lt;IT&gt;Modern Applied Statistics with S&lt;/IT&gt;+2002"
Graphical Markov Models with Mixed Graphs in R,R JOURNAL,NO DOI,DEC 2012,19,4,"In this paper we provide a short tutorial illustrating the new functions in the package ggm that deal with ancestral, summary and ribbonless graphs. These are mixed graphs (containing three types of edges) that are important because they capture the modified independence structure after marginalisation over, and conditioning on, nodes of directed acyclic graphs. We provide functions to verify whether a mixed graph implies that A is independent of B given C for any disjoint sets of nodes and to generate maximal graphs inducing the same independence structure of non-maximal graphs. Finally, we provide functions to decide on the Markov equivalence of two graphs with the same node set but different types of edges.",,,"Sadeghi, Kayvan@Univ Oxford, Dept Stat, Oxford OX1 3TG, England::Marchetti, Giovanni M.@Univ Florence, Dipartimento Stat G Parenti, I-50134 Florence, Italy","Sadeghi, Kayvan@University of Oxford::Marchetti, Giovanni M.@University of Florence","Marchetti, Giovanni Maria@http://orcid.org/0000-0003-4413-9349","Searching across Markov equivalence classes of maximal ancestral graphs+Ali, R. A.; Richardson, T.+P JOINT STAT M AM ST+2004::A common platform for graphical models in R: the gRbase package+Dethiefsen, C; Hejsgaard, S.+J. Stan Softw.+2005::no title+Gentleman, R.; Whalen, E.; Huber, W.<span class=""fcr-data-normal"">; et al</span><span class=""fcr-data-additional"" style=""display: none;"">; Falcon, S</span>.+&lt;IT&gt;graph: A package to handle graph data structures&lt;/IT&gt;+2012::no title+Hojsgaard, S.; Edwards, D.; Lauritzen, S.+&lt;IT&gt;Graphical Models with R&lt;/IT&gt;+2012::A common platform for graphical models in R: The gRbase package+Hojsgaard, S.; Dethlefsen, C.+&lt;IT&gt;Journal of Statistical Software&lt;/IT&gt;+2005::Graphical Independence Networks with the gRain Package for R+Hojsgaard, Soren+JOURNAL OF STATISTICAL SOFTWARE+MAR 2012::Marginalizing and conditioning in graphical models+Koster, JTA+BERNOULLI+DEC 2002::no title+Marchetti, G. M.; Drton, M.; Sadeghi, K.+&lt;IT&gt;ggm: A package for Graphical Markov Models&lt;/IT&gt;+2012::Independencies induced from a graphical Markov model after marginalization and conditioning: the R package ggm+Marchetti, G. M.+&lt;IT&gt;Journal of Statistical Software&lt;/IT&gt;+2006::The ''igraph'' software package for complex network research+Nepusz, T.; Csardi, G.+&lt;IT&gt;InterJournal&lt;/IT&gt;+2006::no title+Pearl, J.+&lt;IT&gt;Probabilistic Reasoning in Intelligent Systems: networks of plausible inference&lt;/IT&gt;+1988::Ancestral graph Markov models+Richardson, T; Spirtes, P+ANNALS OF STATISTICS+AUG 2002::Stable mixed graphs+Sadeghi, K.+&lt;IT&gt;Bernoulli&lt;/IT&gt;+2012::Markov properties for mixed graphs+Sadeghi, K.; Lauritzen, S. L.+&lt;IT&gt;Bernoulli&lt;/IT&gt;+2012::no title+Sadeghi, K.+Markov equivalences for subclasses of mixed graphs+2012::no title+Wermuth, N.; Cox, D. R.+&lt;IT&gt;Multivariate Dependencies : models, analysis and interpretation&lt;/IT&gt;+1996::Probability distributions with summary graph structure+Wermuth, Nanny+BERNOULLI+AUG 2011::Distortion of effects caused by indirect confounding+Wermuth, Nanny; Cox, D. R.+BIOMETRIKA+MAR 2008::Sequences of regressions and their independences+Wermuth, Nanny; Sadeghi, Kayvan+TEST+JUN 2012"
The State of Naming Conventions in R,R JOURNAL,NO DOI,DEC 2012,0,4,"Most programming language communities have naming conventions that are generally agreed upon, that is, a set of rules that governs how functions and variables are named. This is not the case with R, and a review of unofficial style guides and naming convention usage on CRAN shows that a number of different naming conventions are currently in use. Some naming conventions are, however, more popular than others and as a newcomer to the R community or as a developer of a new package this could be useful to consider when choosing what naming convention to adopt.",,,"Baath, Rasmus@Lund Univ, Lund Univ Cognit Sci, S-22100 Lund, Sweden","Baath, Rasmus@Lund University",not exist,
Untitled,R JOURNAL,NO DOI,JUN 2012,0,0,no abstract,,,"Plummer, Martyn@Unknow","Plummer, Martyn@Unknow",not exist,
