title,publisher,doi,published,cited_num,times_cited,abstract,keywords,keyword_plus,authors_address,author_university,author_id,cited
Stata tip 18: Making keys functional,STATA JOURNAL,NO DOI,2005,0,0,no abstract,,,"Driver, S@StataCorp, College Stn, TX 77845 USA","Driver, S@Unknow",not exist,
Exploratory analysis of single nucleotide polymorphism (SNP) for quantitative traits,STATA JOURNAL,NO DOI,2005,3,10,"With the decreasing cost and the increasing ability to quickly genotype single nucleotide polymorphisms (SNP) across the human genome, large databases containing possibly hundreds of typed SNPs are becoming common in population-based studies of quantitative traits. Testing for association between individual SNPs and the quantitative trait is an important first step in the discovery of disease susceptibility SNPs. This task, however, could be time-consuming and tedious if a large number of SNPs is involved. In this article, I introduce two new commands designed to facilitate the screening and testing of multiple SNPs for possible association with quantitative traits.","st0083,hwsnp,qtlsnp,genetic epidemiology,genetic linkage,QTL,biallelic marker,single nucleotide polymorphisms,Hardy-Weinberg",,"Cleves, MA@UAMS, Coll Med, Dept Pediat, Little Rock, AR 72211 USA","Cleves, MA@University of Arkansas System@University of Arkansas Little Rock",not exist,"Hardy-Weinberg equilibrium tett and allele frequency estimation+Cleves, M.+Stata Tech. Bull+1999::no title+Falconer, D. S; Mackay, T. F. C.+Introduction to quantitative genetics+1996::no title+LUI BH+STAT GENOMICS LINKAG+1997"
Value label utilities: labeldup and labelrename,STATA JOURNAL,NO DOI,2005,1,0,"I describe two utilities dealing with value labels. labeldup reports and optionally removes duplicate value labels. labelrename renames a value label. Both utilities, of course, preserve the links between variables and value labels and support multilingual datasets.","dm0012,labeldup,labelrename,value labels,data integrity,multilingual datasets",,"Weesie, J@Univ Utrecht, Dept Sociol, NL-3508 TC Utrecht, Netherlands","Weesie, J@Utrecht University","Weesie, Jeroen@F-5467-2013",no title+WEESIE J+STATA J+2005
Multilingual datasets,STATA JOURNAL,NO DOI,2005,1,1,"This insert describes a new command mlanguage that facilitates the creation and maintenance of ""comprehensive"" multilingual datasets. These are datasets with many variables, many of which are value labeled, with labels in different languages, all contained within the dataset. The tools make it easy to add labels in a new language by translating an existing set of labels, to switch between the sets of labels, to verify the integrity of such labels, and to assist in keeping the labels complete.","dm0013,mlanguage,multilingual datasets,data integrity,value labels",,"Weesie, J@Univ Utrecht, Dept Sociol, NL-3508 TC Utrecht, Netherlands","Weesie, J@Utrecht University","Weesie, Jeroen@F-5467-2013",no title+WEESIE J+STATA J+2005
Multiple imputation of missing values: update,STATA JOURNAL,NO DOI,2005,7,331,"This article describes a substantial update to mvis, which brings it more closely in line with the feature set of S. van Buuren and C. G. M. Oudshoorn's implementation of the MICE system in R and S-PLUS (for details, see http://www.multiple-imputation.com). To make a clear distinction from mvis, the principal program of the new Stata release is called ice. I will give details of how to use the new features and a practical illustrative example using real data. All the facilities of mvis are retained by ice. Some improvements to micombine for computing estimates from multiply imputed datasets are also described.","st0067_1,ice,mvis,uvis,micombine,mijoin,misplit,missing data,missing at random,multiple imputation,multivariate imputation,regression modeling",,"Royston, P@MRC, Clin Trials Unit, Canc Div, London NW1 2DA, England","Royston, P@Medical Research Council Clinical Trials Unit",not exist,"DESIGN AND ANALYSIS OF STUDIES TO DERIVE CHARTS OF FETAL SIZE+ALTMAN, DG; CHITTY, LS+ULTRASOUND IN OBSTETRICS &amp; GYNECOLOGY+NOV 1993::Small-sample degrees of freedom with multiple imputation+Barnard, J; Rubin, DB+BIOMETRIKA+DEC 1999::Tools for analyzing multiple imputed datasets+Carlin, JB; Li, N; Greenwood, P.+Stata J+2003::Multiple imputation of missing values+Roysten, P.+Stata J.+2004::INFERENCE AND MISSING DATA+RUBIN, DB+BIOMETRIKA+1976::no title+Rubin, DB.+Multiple Imputation for Nonresponse in Surveys+1987::Multiple imputation of missing blood pressure covariates in survival analysis+Van Buuren, S; Boshuizen, HC; Knook, DL+STATISTICS IN MEDICINE+MAR 30 1999"
Estimation and testing of fixed-effect panel-data systems,STATA JOURNAL,NO DOI,2005,6,18,"This paper describes how to specify, estimate, and test multiple-equation, fixed-effect, panel-data equations in Stata. By specifying the system of equations as seemingly unrelated regressions, Stata panel-data procedures worked seamlessly for estimation and testing of individual variable coefficients, but additional routines using test were needed for testing of individual equations and differences between equations.","st0084,panel data,fixed effect,multiple equations,seemingly unrelated regressions,heteroskedasticity,autocorrelation,contemporaneous correlation,tests of linear combinations",,"Blackwell, JL@Univ N Dakota, Dept Econ, Bur Business & Econ Res, Grand Forks, ND 58201 USA","Blackwell, JL@University of North Dakota Grand Forks",not exist,"no title+Baltagi, BH.+Econometric Analysis of Panel Data+2001::WHAT TO DO (AND NOT TO DO) WITH TIME-SERIES CROSS-SECTION DATA+BECK, N; KATZ, JN+AMERICAN POLITICAL SCIENCE REVIEW+SEP 1995::no title+Judge, G; Hill, R. C; Griffiths, W. E<span class=""fcr-data-normal"">; et al</span><span class=""fcr-data-additional"" style=""display: none;"">; Lutkepohl, H; Lee, T. C</span>.+Introduction to the Theory and Practice of Econometrics+1988::no title+WIGGINS V+DOES XGLS DIFFER REG+2001::no title+Wooldridge,, J. M.+Econometric Analysis of Cross Sectionand PanelData+2002::no title+Wooldridge, Jeffrey M.+Introductory econometrics: A modern approach+2003"
Data inspection using biplots,STATA JOURNAL,NO DOI,2005,18,38,"Biplots display interunit distances, as well as variances and correlations of variables of large datasets. They can be used as a tool to reveal clustering, multicollinearity, and multivariate outliers, and to guide the interpretation of principal component analyses (PCA). This article describes the uses of biplots and its implementation in Stata.","gr0011,biplot,biplot8,principal component analysis,exploratory data analysis,multivariate statistics,Euclidean distance,mahalanobis distance,relative variation diagram,projection",,"Kohler, U@Wissensch Zentrum Berlin, Berlin, Germany::Luniak, M@Wissensch Zentrum Berlin, Berlin, Germany","Kohler, U@Unknow::Luniak, M@Unknow","Kohler, Ulrich@http://orcid.org/0000-0002-5614-6063","RELATIVE VARIATION DIAGRAMS FOR DESCRIBING PATTERNS OF COMPOSITIONAL VARIABILITY+AITCHISON, J+MATHEMATICAL GEOLOGY+MAY 1990::no title+Aitchison, J.+The Statistical Analysis of Compositional Data+1986::The Irises of the Gaspe peninsula+Anderson, E.+Bulletin of the American Iris Society+1935::no title+Blasius, J.; Greenacre, M.+Visualization of Categorical Data+1998::no title+Digby, P; Kempton, RA.+Multivariate analysis of ecological communities+1987::no title+FENTY J+STATA J+2004::The use of multiple measurements in taxonomic problems+Fisher, RA+ANNALS OF EUGENICS+SEP 1936::Goodness of fit of biplots and correspondence analysis+Gabriel, KR+BIOMETRIKA+JUN 2002::BIPLOT GRAPHIC DISPLAY OF MATRICES WITH APPLICATION TO PRINCIPAL COMPONENT ANALYSIS+GABRIEL, KR+BIOMETRIKA+1971::no title+GNANADESIKAN R+METHODS STAT DATA AN+1977::no title+Hamilton, LC.+Regression with graphics: a second course in applied statistics+1992::no title+Hand, D.J; Gower, J.C.+Biplots+1996::no title+JACKSON JE+USERS GUIDE PRINCIPA+1991::no title+Jolliffe, IT.+Principal Component Analysis+2002::no title+Kruskal, J.B; Wish, M.+Multidimensional Scaling+1978::Multivariate graphics: Current use and implementations in the social sciences+Schnell, R; Matschinger, H+COMPUTATIONAL STATISTICS+1994::no title+Schnell, R.+Graphisch gestutzte datenanalyse+1994::no title+Tabachnik, Barbara; Linda, Fidell.+Using Multivariate Statistics+1989"
Stata in space: Econometric analysis of spatially explicit raster data,STATA JOURNAL,NO DOI,2005,6,2,"Realizing the importance of location, economists are increasingly adopting spatial analytical and spatial econometric perspectives to study questions such as the geographical targeting of policy interventions, regional agglomeration effects, the diffusion of technologies across space, or causes and consequences of land-cover change. Explicitly accounting for location in econometric estimations can be of great benefit for researchers working at the interface of economics or environmental sciences and geography.

The objective of this article is to demonstrate how spatially explicit raster data derived from standard geographical information system (GIS) software can be used within Stata. Three programs implemented as ado-files are presented. These import geographic raster data into Stata (ras2dta), draw systematic spatial samples within Stata (spatsam), and export data and estimation results in a form usable by standard GIS software (dta2ras). A numerical example is presented to estimate the determinants of forest cover with a spatially explicit logit model, calculate predicted probabilities, and map the predictions with GIS software.","dm0014,ras2dta,spatsam,dta2ras,geographical information systems (CIS),raster data,spatial modeling,spatial econometrics",,"Muller, D@Humboldt Univ, Inst Agr Econ & Social Sci, D-1086 Berlin, Germany","Muller, D@Humboldt University of Berlin","Mueller, Daniel@A-4454-2009@http://orcid.org/0000-0001-8988-0718","Spatial Econometrics+ANSELIN, L.+A Companion to Theoretical Econometrics+2001::no title+Anselin,, L.+Spatial econometrics: methods and models+1988::no title+*ESRI+ARCVIEW 3 2 ONL HELP+2000::no title+MULLER D+THESIS GEORGAUGUST U+2003::Deforestation and land use change: sparse data environments+Nelson, GC; Geoghegan, J+AGRICULTURAL ECONOMICS+NOV 2002::Cellular geography+Tobler, W.+Philosophy in Geography+1979"
Using the file command to produce formatted output for other applications,STATA JOURNAL,NO DOI,2005,0,1,"The file command provides a way to produce tables for use in other application software. It can be especially useful for combining descriptive results (such as means and percentages) and results from significance tests. Extracting and manipulating the results directly from Stata matrices gives more control over arrangement, while other Stata functions may be used to control numeric formats. This tutorial includes examples based on survey data of both plain text and HTML output.","dm0015,file,presentation of results,tables,HTML,spreadsheets,word processors,browsers",,"Slaymaker, E@London Sch Hyg & Trop Med, Ctr Populat Studies, London WC1B 3DP, England","Slaymaker, E@London School of Hygiene & Tropical Medicine@University of London","Slaymaker, Emma@http://orcid.org/0000-0002-4941-5739",
Teaching statistics to physicians using Stata,STATA JOURNAL,NO DOI,2005,4,0,"The Clinical Research Training Program (CRTP) at the Albert Einstein College of Medicine at Yeshiva University is a two-year program for physicians leading to a Master of Science degree in Clinical Research Methods. Beginning in July 2004, the program began teaching data analysis using Stata 8 in order to better meet the advanced statistical needs of the students. This paper details the structure and content of the course, how Stata was introduced, and the problems we encountered. Student comments and suggestions on future enhancements to Stata are included. Although challenging, our first semester teaching Stata was a success: the students all learned Stata and, more importantly, continued to use it for the analysis of their own research data after the course was complete.","gn0027,teaching statistics to physicians,menu-driven interaction style",EPIDEMIOLOGY,"Hailpern, SM@Albert Einstein Coll Med, Dept Epidemiol & Populat Hlth, Bronx, NY 10467 USA","Hailpern, SM@Albert Einstein College of Medicine@Yeshiva University",not exist,"no title+Altman, DG.+Practical statistics for medical research+1991::A randomized trial of a problem-based learning approach for teaching epidemiology+Dyke, P; Jamrozik, K; Plant, AJ+ACADEMIC MEDICINE+APR 2001::no title+Hamilton, Lawrence C.+Statistics with Stata: Updated for Version 8+2004::Using the case-discussion method to teach epidemiology and biostatistics+Marantz, PR; Burton, W; Steiner-Grossman, P+ACADEMIC MEDICINE+APR 2003"
